,cum_positive_density,cum_deceased_density,cum_recovered_density,air_passengers.tsv,available_hospital_beds_nuts2.tsv,causes_of_death_crude_death_rate_3year_average_by_nuts2.tsv,compensation_of_employees_by_nuts2.tsv,deaths.tsv,early_leavers_from_education_and_training_by_sex_percentage_nuts2.tsv,employment_thousand_hours_worked_nuts2.tsv,farm_labour_force.tsv,health_personnel_by_nuts2.tsv,hospital_discharges_resp_diseases_j00_to_j99_nuts2.tsv,life_expectancy.tsv,longterm_care_beds_per_hundred_thousand_nuts2.tsv,nama_10r_2gdp.tsv,participation_in_education_and_training.tsv,population_nuts2.tsv,pop_density.tsv,pupils_and_students_enrolled_by_sex_age_and_nuts2.tsv,real_growth_rate_of_regional_gross_value_added_GVA_at_basic_prices_by_nuts2.tsv,stock_of_vehicles_by_category_and_nuts2.tsv,students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2.tsv,unemployment_rate_nuts2.tsv,utilised_agricultural_area.tsv,young_people_neither_in_employment_nor_in_education_and_training_by_sex_NEET_RATE_nuts2.tsv
ITG2,0.0382974657192975,0.000931360412901,0.0344752271160527,-0.001993308890093293,-0.6988829872781244,-0.10988439067459631,-0.40527550659572803,-0.024245741132811843,0.18729109376103042,-0.3128887340513542,-0.09994158145885715,0.014373273368760027,-0.4991544635089023,0.6988106725437004,-1.4370822881626568,-0.312436536238522,-0.5256347996329164,-0.06721217395174402,-0.3199030389902901,-0.35510271936284565,-1.6926195588919037,0.1272213373977464,-0.37247955066215305,1.1983822599201137,0.6095793338869182,1.4415645441935216
ITH2,0.0849997708209194,0.0024989686941375,0.081838932942201,0.0,-0.4320956231702785,-0.4518758546234807,-0.6742531809307212,-0.7610456266600065,-0.6026162004992348,-0.7746644329065913,-0.3711630970415303,-0.8222992401739684,-1.1148750070522664,1.164684454239504,0.48725605674843275,-0.5664449146921784,-0.2514157626185382,-0.7108665357556229,-0.2944178283227512,-0.7646527324846003,-0.624600456943211,-0.27716026914374026,-0.6906317718796404,-0.4716550756245194,-0.6042234542554884,0.08092058974605124
PT17,0.1250883604491644,0.0025568650131737,0.0,1.722111072619564,-0.2086954204377535,-0.06539484811735313,0.4292302550448554,0.6717271912270196,-0.7760104846051468,1.0864633710634835,-0.39258187604989564,1.5998439949302508,1.8725784053684573e-16,0.19710044610207314,0.0,0.4255306711541615,-0.0395192340165189,0.6883999514043695,0.8936540277715127,0.9281622571449418,0.10521259605506404,0.0,0.95506602053543,0.0293561250388705,-0.6732427349425807,-0.46687113217435877
ES24,0.108820122480612,0.0026865453987836,0.0028353803145528,-0.6845536538926952,-0.34339945300301156,0.22321792254680756,-0.2865531880641877,-0.23319821097424864,0.6111437882421482,-0.30290838302616074,-0.08973030309440388,-0.11916121051569808,-0.4796461801112318,0.9855022305103504,1.0923784085004897,-0.2628670360471905,-0.2389512609360665,-0.2370235858526417,-0.37164185863695204,-0.19616746416969955,0.14081323278668764,-0.27588084182230826,-0.22055722326307134,0.8643747928111868,1.9734482368752782,0.11626199116027143
ES11,0.0582056041015439,0.0009035770105143,0.0034056194941744,-0.30217324123870104,-0.533371158246363,0.7888831890374207,0.1601366473921413,0.8568382027891793,0.18729109376103042,0.36369197296136435,0.18149121248826924,0.7661867761849134,0.8991622298449706,0.8421564515270253,0.2619723050603206,0.20620033902263232,-0.1516997491587645,0.5913986656608033,-0.28955130568271864,0.3958216586232668,0.08741227768925097,0.7039499706934955,0.41858688884291434,0.9270011928941106,0.029957737906361692,-0.3431762272245889
NL42,0.1112924173895297,0.0014885414531494,0.0,-0.6771446921953407,0.0,0.14930222585721467,-0.11141136348876335,-0.33282585917236795,-0.6796803267685291,-0.4705172686700292,-0.40304220998421364,-0.5138776580408329,-0.848399062066144,0.05375466711874814,0.0,-0.12413440694196395,0.3094868130926896,-0.36568974239420093,0.2556272963861918,-0.4061931119244455,-0.21519313452954333,-0.39513798650398635,-0.26124095220351556,-0.8474134761220617,-0.6447226710261227,-1.156028459751649
NL21,0.1040763726271199,0.0009876067398138,0.0,0.0,0.0,-0.5071812603811555,-0.08455279059328355,-0.4272652107501264,-0.814542547739794,-0.442320810861923,-0.3703329118086479,-0.6359253046018967,-0.9320427573727789,0.08959111186458193,0.0,-0.1300184929378428,0.5587768467421241,-0.3383998300091007,0.03432858264997441,-0.18501501958665964,0.12301291442087457,-0.38726905477954776,-0.20343729168880387,-0.8474134761220617,-0.5227652148470899,-1.1383577590445388
NL34,0.0835827978971962,0.0006545185246995,0.0,0.0,0.0,0.029451952255666346,-0.7285396789581748,-0.8314582236506178,-0.6989463583358525,-0.9312209046091201,-0.4124233031157845,-0.9859866720323364,-1.2209609492227123,0.340446225085393,0.0,-0.6833583026458238,0.6086348534720109,-0.8086266627748903,-0.13510324505431695,-0.7905235098630515,-0.5355988651141532,-0.781065895573159,-0.795781463255245,-1.0352926763708328,-0.6153918967649882,-1.3504061675298589
PT15,0.064335342125792,0.0008439665515526,0.0,-0.0048009154280381815,-0.8374889524771362,0.8262789265806149,-0.8374443845769525,-0.7583897129138695,1.70930758757959,-0.7880137438662852,-0.3442650954961412,-0.8122482575159984,1.8725784053684573e-16,-0.3404462250853879,0.0,-0.7586100364867107,-0.42591878617314244,-0.7754730866579798,-0.2935213636259031,-0.7356295032082555,1.1020304245405097,0.0,-0.8263898257668141,0.15460892520471808,-0.6516318591874708,0.29296899823137146
NO05,0.0143825213871108,0.0,0.0,-0.08941905691887721,-0.51025075144636,-1.1291590777857587,0.15232827027048468,-0.6447413107535845,-0.1402314428834697,-3.7600225774458976e-16,-0.36252917061955353,-0.43504923690903985,1.8725784053684573e-16,0.6988106725437004,0.4422334513986164,-0.055847259253545334,0.49645433832976554,-0.4935916244289681,-0.3829117005401853,-0.24462220022650316,-2.5295773818088987e-15,-0.5837890913515044,-0.2358341000027885,-0.6804097425675986,-0.5966124571390472,-1.173699160458759
