	cum_positive	cum_deceased	cum_recovered	curr_positive	hospitalized	intensive_care	iso3	country_name	EUCountry	EUCPMCountry	date	air_passengers.tsv	available_hospital_beds_nuts2.tsv	causes_of_death_crude_death_rate_3year_average_by_nuts2.tsv	compensation_of_employees_by_nuts2.tsv	deaths.tsv	early_leavers_from_education_and_training_by_sex_percentage_nuts2.tsv	employment_thousand_hours_worked_nuts2.tsv	farm_labour_force.tsv	health_personnel_by_nuts2.tsv	hospital_discharges_resp_diseases_j00_to_j99_nuts2.tsv	life_expectancy.tsv	longterm_care_beds_per_hundred_thousand_nuts2.tsv	nama_10r_2gdp.tsv	participation_in_education_and_training.tsv	population_nuts2.tsv	pop_density.tsv	pupils_and_students_enrolled_by_sex_age_and_nuts2.tsv	real_growth_rate_of_regional_gross_value_added_GVA_at_basic_prices_by_nuts2.tsv	stock_of_vehicles_by_category_and_nuts2.tsv	students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2.tsv	unemployment_rate_nuts2.tsv	utilised_agricultural_area.tsv	young_people_neither_in_employment_nor_in_education_and_training_by_sex_NEET_RATE_nuts2.tsv	cum_positive_density	cum_deceased_density	cum_recovered_density
HR03	63058.0	818.0	0.0	62240.0			HRV	Croatia	True	True	2020-12-28	7692.0	524.77	1225.69	7882.59	16658.0	1.4	1017609.69	35580.0	4504.0	11244.0	79.9	217.06	17546.29	2.8	1373802.0	56.0	52844.0	108.8	713705.0	49566.0	7.5	467420.0	9.4	0.045900355364164556	0.0005954278709741287	0.0
SE21	34393.0	0.0	0.0	34393.0			SWE	Sweden	True	True	2020-12-29	1024.0	219.27	1004.7	17219.03	8138.0	9.4	710050.0	9960.0	3271.0		83.6	1399.56	33683.27	25.3	870200.0	26.2	74234.0	106.0	532635.0	32204.0	7.7	502900.0	5.5	0.039523098138359	0.0	0.0
DK01	7384.0	353.0	0.0	0.0			DNK	Denmark	True	True	2020-12-31	30135.0	297.59	844.13	64758.98	15321.0	7.9	1527162.0	1980.0	8961.0	28694.0	81.5		126934.24	22.7	1846023.0	756.0	143164.0	114.3	909175.0	128712.0	6.1	98480.0	7.1	0.0039999501631344785	0.00019122188618451666	0.0
DK04	1656.0	69.0	0.0	0.0			DNK	Denmark	True	True	2020-12-31	612.0	216.92	886.77	33907.66	11367.0	9.6	924964.0	11180.0	5274.0	16990.0	82.0		65703.05	18.9	1326340.0	103.7	108318.0	116.5	720480.0	71223.0	5.5	791690.0	7.1	0.0012485486376042343	5.2022859900176425e-05	0.0
DK05	559.0	25.0	0.0	0.0			DNK	Denmark	True	True	2020-12-31	1443.0	225.31	1048.94	13828.91	6051.0	8.4	395443.0	7300.0	2099.0	7734.0	81.3		26559.43	17.9	589936.0	76.4	45518.0	107.0	329763.0	32174.0	5.8	485520.0	7.7	0.0009475604133329718	4.237747823492718e-05	0.0
DK02	2035.0	123.0	0.0	0.0			DNK	Denmark	True	True	2020-12-31	6.0	275.73	1094.17	15793.52	9056.0	11.9	456715.0	6090.0	3069.0	12169.0	80.8		30909.62	18.9	837359.0	118.3	66815.0	107.8	450391.0	24142.0	5.3	470050.0	8.0	0.002430259900472796	0.00014689040184675867	0.0
DK03	1048.0	35.0	0.0	0.0			DNK	Denmark	True	True	2020-12-31	3847.0	252.61	1016.24	30028.53	12163.0	10.1	830170.0	9870.0	4879.0	16125.0	81.5		58664.66	18.5	1223105.0	102.0	98059.0	107.5	675759.0	52316.0	5.1	773600.0	7.9	0.0008568356764137176	2.8615695300076445e-05	0.0
ES64	4540.0	47.0	125.0	4497.0	335.0	46.0	ESP	Spain	True	True	2020-12-31	428.0	190.35	609.22	908.6	491.0	22.8	49001.5	0.0		608.0	81.4	367.29	1621.83	10.5	84473.0	6041.5	8346.0	108.7	60568.0	2948.0	23.6	0.0	22.8	0.05374498360422857	0.0005563907994270359	0.001479762764433606
AL03	15468.0	296.0	10371.0	4801.0	58.0	9.0	ALB	Albania	False	False	2020-12-31					8172.0						77.4		3766.97		865026.0	67.1		108.6						0.017881543444936917	0.000342186246424963	0.011989235005653008
UKM6	2435.0	0.0	0.0	2435.0			GBR	United Kingdom	False	True	2020-12-31	1658.0		1150.64		5433.0			12060.0			80.0			14.4	470990.0	11.7			286958.0		2.2	2763560.0		0.005169961145671882	0.0	0.0
FI1C	5579.0	0.0	0.0	5579.0			FIN	Finland	True	True	2020-12-31	455.0	342.38	1136.41	19558.22	13016.0	8.2	814235.74	12890.0			81.7	1282.32	44755.99	24.8	1148794.0	36.6	72389.0	109.7	951005.0	55971.0	7.7	616350.0	8.8	0.004856397230486928	0.0	0.0
FI19	5196.0	0.0	0.0	5196.0			FIN	Finland	True	True	2020-12-31	667.0	333.02	1044.96	24284.21	14275.0	8.1	994183.02	19490.0			82.3	1282.04	52966.94	25.6	1378652.0	23.7	94257.0	106.2	1185530.0	78986.0	7.7	780380.0	10.5	0.0037688988954427947	0.0	0.0
FI1D	3571.0	0.0	0.0	3571.0			FIN	Finland	True	True	2020-12-31	3018.0	388.16	1113.12	20896.46	14025.0	8.6	902480.87	16530.0			81.5	1324.63	46441.87	26.1	1278237.0	6.3	88922.0	109.8	1091286.0	68190.0	8.8	661430.0	10.5	0.002793691623697327	0.0	0.0
PT30	1601.0	13.0	0.0	1588.0			PRT	Portugal	True	True	2020-12-31	3344.0	735.15	1074.14	2067.29	2679.0	23.2	228017.77	11880.0	1124.0		78.8		5069.44	7.9	254254.0	318.0	16130.0	108.8	0.0	3156.0	7.9	5260.0	16.1	0.006296852753545667	5.1129972389814906e-05	0.0
BG41	78334.0	69.0	442.0	77823.0			BGR	Bulgaria	True	True	2020-12-31	7078.0	739.34	1343.42	12668.12	28739.0	5.2	2140683.61	51360.0	9334.0	59824.0	76.0	28.97	30951.19	2.7	2094260.0	103.7	78218.0	118.4	1160682.0	113123.0	3.6	554470.0	6.5	0.03740414275209382	3.294719853313342e-05	0.0002110530688644199
BG33	25104.0	2.0	14.0	25088.0			BGR	Bulgaria	True	True	2020-12-31	2069.0	536.38	1437.45	2478.74	13482.0	12.5	713057.09	26980.0	3687.0	21397.0	75.0	38.01	6307.94	1.4	924870.0	63.7	33664.0	110.1	413877.0	31718.0	6.1	822230.0	14.5	0.027143274189886147	2.162466076313428e-06	1.5137262534193994e-05
BG32	20344.0	7.0	10.0	20328.0			BGR	Bulgaria	True	True	2020-12-31		674.11	1753.33	1843.34	13725.0	12.7	574486.27	27630.0	2595.0	31437.0	74.6	19.5	4557.31	1.5	773450.0	53.1	25201.0	109.8	364640.0	29166.0	5.7	793430.0	13.1	0.0263029284375202	9.05035878208029e-06	1.2929083974400414e-05
BG34	28891.0	29.0	93.0	28769.0			BGR	Bulgaria	True	True	2020-12-31	2858.0	670.17	1517.16	2806.58	15831.0	24.4	782417.86	35520.0	3515.0	29214.0	74.5	58.64	6818.65	0.7	1024115.0	52.5	42482.0	109.3	445427.0	12986.0	4.6	845160.0	21.6	0.028210698993765347	2.8317132353300168e-05	9.081011409851432e-05
FI20	99.0	0.0	0.0	99.0			FIN	Finland	True	True	2020-12-31	52.0	392.14	910.96	719.57	266.0		28751.89	440.0			83.9	1509.5	1358.82	25.4	29884.0	19.2	1978.0	94.7	30918.0	521.0		18960.0		0.003312809530183376	0.0	0.0
SI04	494.0	0.0	0.0	0.0	0.0	0.0	SVN	Slovenia	True	True	2020-04-15	1719.0	517.78	880.61	14152.35	8876.0	4.0	881778.3		3782.0	13709.0	82.8		27376.59	9.3	995849.0	126.9	65674.0	118.1	622477.0	53995.0	4.4		5.8	0.0004960591414963514	0.0	0.0
RO42	57492.0	0.0	0.0	57492.0			ROU	Romania	True	True	2020-12-30	1595.0	750.7	1297.81	7651.16	23433.0	6.6	1338723.0	241890.0	7388.0	42145.0	75.6	152.03	20803.2	1.5	1771480.0	55.7	76128.0	127.7	769544.0	55778.0	4.6	1648380.0	13.3	0.03245421907105923	0.0	0.0
RO21	67678.0	0.0	0.0	67678.0			ROU	Romania	True	True	2020-12-30	2099.0	664.57	1403.14	7839.71	43914.0	18.4	2667933.2	749260.0	8154.0	75355.0	74.6	215.91	23123.11	0.6	3184215.0	87.5	168658.0	106.0	1013917.0	67427.0	3.0	1937080.0	7.9	0.02125421807258618	0.0	0.0
RO11	77862.0	0.0	0.0	77862.0			ROU	Romania	True	True	2020-12-30	2994.0	732.38	1250.91	9706.98	31541.0	14.9	2133723.4	495490.0	8542.0	59787.0	75.7	179.03	26835.53	0.7	2547429.0	75.0	122790.0	129.2	1072065.0	93552.0	3.8	1783180.0	12.1	0.030564934292574984	0.0	0.0
RO22	70337.0	0.0	0.0	70337.0			ROU	Romania	True	True	2020-12-30	23.0	622.8	1461.73	7446.18	35414.0	20.6	1729159.5	428460.0	5247.0	48509.0	74.4	238.28	22802.19	0.6	2377101.0	70.9	117487.0	113.6	920227.0	38722.0	7.4	2092500.0	19.9	0.029589403226871723	0.0	0.0
RO41	44058.0	0.0	0.0	44058.0			ROU	Romania	True	True	2020-12-30	514.0	674.44	1392.85	5596.05	27196.0	11.4	1536493.8	555170.0	5977.0	55392.0	76.2	170.79	17099.28	0.8	1910409.0	66.9	83148.0	111.6	738024.0	28627.0	5.0	1574200.0	13.5	0.023062077282927373	0.0	0.0
MT00	12774.0	219.0	11121.0	1434.0			MLT	Malta	True	True	2020-12-31	7318.0	430.84	762.02	5767.22	3688.0	16.7	504063.59	9200.0	1925.0		82.9	1073.23	13442.0	11.0	514564.0	1595.1	26788.0	125.0	363815.0	16068.0	4.3	10880.0	9.2	0.024824900303946643	0.0004256030348022792	0.021612471917973275
SK03	46279.0	0.0	0.0	46279.0			SVK	Slovakia	True	True	2020-12-31		583.78	1015.35	7776.08	13759.0	7.4	959293.0	8020.0	4427.0		77.2		18834.04	3.2	1336785.0	82.7	54700.0	112.2	620756.0	23727.0	6.7	465740.0	10.2	0.034619628436884015	0.0	0.0
SE23	84171.0	0.0	0.0	84171.0			SWE	Sweden	True	True	2020-12-29	6671.0	195.76	892.18	44306.76	17814.0	7.5	1667250.0	15530.0	8636.0		83.1	1304.41	91350.51	28.5	2059729.0	70.1	176822.0	107.5	1095727.0	81815.0	7.6	652920.0	6.7	0.040865084678615486	0.0	0.0
SE32	14584.0	0.0	0.0	14584.0			SWE	Sweden	True	True	2020-12-29	706.0	227.69	1126.27	7140.95	4169.0	11.8	295470.0	3470.0	1423.0		82.1	1654.3	14834.18	26.1	376157.0	5.3	31250.0	103.5	240742.0	11290.0	7.6	104450.0	6.9	0.038771045068947275	0.0	0.0
SE33	15924.0	0.0	0.0	15924.0			SWE	Sweden	True	True	2020-12-29	2675.0	240.2	1066.31	10649.23	5462.0	5.8	422920.0	3470.0	2326.0		82.2	1701.68	23271.8	26.2	521829.0	3.4	38954.0	105.8	322878.0	33722.0	6.2	106680.0	5.9	0.030515743663154023	0.0	0.0
UKM8	41341.0		0.0	41341.0			GBR	United Kingdom	False	True	2020-12-31	8834.0		1063.6		16505.0	6.3					77.9			13.5	1541998.0	800.0			740257.0		4.5		8.6	0.026810021802881716		0.0
FI1B	21254.0	0.0	0.0	21254.0			FIN	Finland	True	True	2020-12-31	22049.0	274.76	728.54	43118.33	12367.0	8.0	1452428.95	3310.0			82.6	899.35	94961.07	30.8	1689725.0	184.7	113557.0	111.0	1072690.0	91651.0	7.2	180520.0	7.6	0.012578378138454482	0.0	0.0
CH05	55714.0	998.0	847.0	54095.0	360.0	53.0	CHE	Switzerland	False	False	2020-12-31	107.0	498.28	799.09		9723.0	1.4		11840.0	4212.0	12135.0	83.6	1341.57		26.2	1183813.0	104.6	69800.0			26056.0	3.8	216820.0	5.0	0.04706317636315871	0.0008430385542311159	0.0007154846246831214
CH03	47797.0	775.0	39956.0	7066.0	394.0	59.0	CHE	Switzerland	False	False	2020-12-31		541.62	796.97		9541.0	5.7		4190.0	5447.0	14693.0	84.0	1102.73		29.3	1171157.0	603.0	71437.0			20087.0	4.7	83120.0	6.2	0.04081177843790371	0.0006617387762699621	0.034116689735022715
