nuts,cum_positive,cum_deceased,cum_recovered,curr_positive,hospitalized,intensive_care,iso3,country_name,EUCountry,EUCPMCountry,date
BG42,31902.0,22.0,126.0,31757.0,nan,nan,BGR,Bulgaria,True,True,2020-12-31
AL01,13128.0,284.0,8582.0,4262.0,55.0,7.0,ALB,Albania,False,False,2020-12-31
SI03,717.0,0.0,0.0,0.0,0.0,0.0,SVN,Slovenia,True,True,2020-04-15
RO12,79309.0,0.0,0.0,79309.0,nan,nan,ROU,Romania,True,True,2020-12-30
RO32,123478.0,0.0,0.0,123478.0,nan,nan,ROU,Romania,True,True,2020-12-30
RO31,103834.0,0.0,0.0,103834.0,nan,nan,ROU,Romania,True,True,2020-12-30
ITI4,163051.0,3769.0,84109.0,75173.0,3092.0,303.0,ITA,Italy,True,True,2020-12-31
ITC1,197828.0,7922.0,161649.0,28257.0,3085.0,190.0,ITA,Italy,True,True,2020-12-31
ITC3,60469.0,2891.0,51958.0,5620.0,759.0,65.0,ITA,Italy,True,True,2020-12-31
ITI1,120328.0,3673.0,106977.0,9678.0,988.0,150.0,ITA,Italy,True,True,2020-12-31
CH07,23393.0,774.0,2182.0,20437.0,376.0,46.0,CHE,Switzerland,False,False,2020-12-31
AT21,21671.0,531.0,18573.0,2370.0,nan,nan,AUT,Austria,True,True,2020-12-31
AT12,54177.0,910.0,48955.0,4312.0,nan,nan,AUT,Austria,True,True,2020-12-31
AT31,72511.0,1166.0,66688.0,5237.0,461.0,74.0,AUT,Austria,True,True,2020-12-31
AT32,28667.0,348.0,25642.0,2683.0,124.0,24.0,AUT,Austria,True,True,2020-12-31
AT34,19371.0,233.0,18107.0,1041.0,49.0,16.0,AUT,Austria,True,True,2020-12-31
ITI3,41624.0,1571.0,28875.0,11178.0,532.0,62.0,ITA,Italy,True,True,2020-12-31
ITF3,189673.0,2844.0,109574.0,77255.0,1438.0,113.0,ITA,Italy,True,True,2020-12-31
NL41,125400.0,2388.0,0.0,123012.0,3840.0,nan,NLD,Netherlands,True,True,2020-12-31
NL32,136972.0,1630.0,0.0,135342.0,3130.0,nan,NLD,Netherlands,True,True,2020-12-31
NL33,203708.0,2835.0,0.0,200873.0,4889.0,nan,NLD,Netherlands,True,True,2020-12-31
ES61,264371.0,5123.0,10671.0,259248.0,23363.0,2338.0,ESP,Spain,True,True,2020-12-31
ES13,17948.0,393.0,2287.0,17555.0,1757.0,224.0,ESP,Spain,True,True,2020-12-31
ES21,110821.0,2963.0,16160.0,107858.0,9056.0,685.0,ESP,Spain,True,True,2020-12-31
ES12,27171.0,1343.0,1063.0,25828.0,4979.0,367.0,ESP,Spain,True,True,2020-12-31
ITI2,28960.0,624.0,24559.0,3777.0,303.0,44.0,ITA,Italy,True,True,2020-12-31
ES42,100673.0,4086.0,6392.0,96587.0,14068.0,906.0,ESP,Spain,True,True,2020-12-31
NL31,66950.0,869.0,0.0,66081.0,1642.0,nan,NLD,Netherlands,True,True,2020-12-31
ES22,42494.0,960.0,3905.0,41534.0,4546.0,377.0,ESP,Spain,True,True,2020-12-31
ITF5,10826.0,256.0,4519.0,6051.0,93.0,4.0,ITA,Italy,True,True,2020-12-31
PT16,47721.0,996.0,0.0,46725.0,nan,nan,PRT,Portugal,True,True,2020-12-31
PT11,209964.0,3194.0,0.0,206770.0,nan,nan,PRT,Portugal,True,True,2020-12-31
NL22,88505.0,1311.0,0.0,87194.0,2262.0,nan,NLD,Netherlands,True,True,2020-12-31
ES63,3072.0,130.0,163.0,3013.0,198.0,23.0,ESP,Spain,True,True,2020-12-31
ES62,60316.0,744.0,2180.0,59572.0,5193.0,703.0,ESP,Spain,True,True,2020-12-31
ITC2,7273.0,379.0,6483.0,411.0,77.0,2.0,ITA,Italy,True,True,2020-12-31
NL23,19551.0,156.0,0.0,19395.0,455.0,nan,NLD,Netherlands,True,True,2020-12-31
NL12,14795.0,172.0,0.0,14623.0,244.0,nan,NLD,Netherlands,True,True,2020-12-31
NL11,15044.0,90.0,0.0,14954.0,200.0,nan,NLD,Netherlands,True,True,2020-12-31
UKM7,38777.0,0.0,0.0,38777.0,nan,nan,GBR,United Kingdom,False,True,2020-12-31
NO04,3344.0,0.0,0.0,3344.0,nan,nan,NOR,Norway,False,True,2020-12-30
NO02,2714.0,0.0,0.0,2714.0,nan,nan,NOR,Norway,False,True,2020-12-30
NO06,2210.0,0.0,0.0,2210.0,nan,nan,NOR,Norway,False,True,2020-12-30
UKM5,7870.0,nan,0.0,7870.0,nan,nan,GBR,United Kingdom,False,True,2020-12-31
SE11,118357.0,0.0,0.0,118357.0,nan,nan,SWE,Sweden,True,True,2020-12-29
UKD4,24351.0,0.0,0.0,24351.0,nan,nan,GBR,United Kingdom,False,True,2020-12-31
AL02,29720.0,601.0,14681.0,14438.0,147.0,10.0,ALB,Albania,False,False,2020-12-31
PT20,1832.0,22.0,0.0,1810.0,nan,nan,PRT,Portugal,True,True,2020-12-31
PT18,11123.0,218.0,0.0,10905.0,nan,nan,PRT,Portugal,True,True,2020-12-31
RU04,43327.0,439.0,34100.0,8788.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU13,16381.0,528.0,14766.0,1087.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU18,21257.0,514.0,16314.0,4429.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU20,17792.0,174.0,16045.0,1573.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU22,21049.0,172.0,19734.0,1143.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU28,17552.0,258.0,14559.0,2735.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU29,41294.0,541.0,37734.0,3019.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU37,23832.0,254.0,21509.0,2069.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU38,16029.0,258.0,12369.0,3402.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU42,965099.0,14108.0,739703.0,211288.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU43,36106.0,651.0,32979.0,2476.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU44,69815.0,1646.0,62165.0,6004.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU50,28742.0,343.0,25185.0,3214.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU51,26048.0,318.0,21031.0,4699.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU14,242124.0,7694.0,148447.0,85983.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU59,31401.0,606.0,29005.0,1790.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU60,35328.0,416.0,30253.0,4659.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU63,58582.0,1509.0,50924.0,6149.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU64,17651.0,185.0,15686.0,1780.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU65,13284.0,182.0,10719.0,2383.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU66,24418.0,218.0,20102.0,4098.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU67,22845.0,750.0,20074.0,2021.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU69,22269.0,453.0,17626.0,4190.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU70,23365.0,198.0,21980.0,1187.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU76,46205.0,1145.0,43606.0,1454.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU78,22291.0,190.0,20912.0,1189.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU11,34705.0,538.0,23215.0,10952.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU58,31950.0,748.0,26618.0,4584.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU71,19634.0,385.0,16001.0,3248.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU06,19064.0,142.0,14958.0,3964.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU10,8668.0,92.0,4351.0,4225.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU55,51651.0,2061.0,42108.0,7482.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU09,25724.0,591.0,23134.0,1999.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU01,11025.0,92.0,9002.0,1931.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU41,13489.0,95.0,11145.0,2249.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU03,15866.0,105.0,14263.0,1498.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU75,23435.0,425.0,18687.0,4323.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU05,19010.0,385.0,12653.0,5972.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU39,7006.0,65.0,6500.0,441.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU45,12010.0,101.0,10619.0,1290.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU77,32106.0,334.0,24843.0,6929.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU16,12136.0,140.0,10040.0,1956.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU23,10102.0,82.0,8919.0,1101.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU68,14758.0,157.0,13568.0,1033.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
